"year","employees","vehicles","budget","surrender","stray","impound","intake","adopt","return","euthanize","tranfer","foster","serviceCalls","emergencyCalls","grants","revenue"
2004,15.15,3,782931,2351,3257,NA,5608,1896,558,2277,592,NA,NA,150,0,13146
2005,16.6,3,760206,2104,3038,NA,5142,1866,542,1724,670,380,1525,150,18925,112649
2006,16.6,3,1030661,2361,2800,NA,5161,1737,554,1856,657,700,2900,150,5555,105401
2007,17.23,3,1062946,2294,2519,NA,4813,1825,523,1753,539,800,2950,150,0,100170
2008,17.725,3,1132507,2131,2690,NA,4821,1849,544,1721,431,600,2700,150,11215,106627
2009,17.975,3,1164248,2203,2316,NA,4591,1893,452,1612,275,712,2515,97,37498,112187.8
2010,17.975,3,1139422,2028,2349,NA,4407,1991,513,1363,211,760,2512,125,7617,105464
2011,17.93,3,1170555,1821,2170,NA,4036,1959,551,1146,152,731,2630,143,10000,113070
2012,16.99,3,1176848,2012,2044,NA,4094,2393,519,828,140,750,2818,152,0,109161.08
2013,16.99,3,1267035,1817,2116,NA,3988,2216,489,850,78,566,2510,173,0,102256
2014,16.99,3,1313462,1882,1864,NA,3794,2248,529,655,108,593,2288,169,0,106851
2015,20,3,1236617,1797,1418,491,3849,2258,561,594,170,599,2430,233,0,110228
2016,17.3,3,1335530,1763,1393,446,3711,2307,562,382,177,700,2389,263,0,100994
2017,17.5,3,1469719,1706,1335,480,3598,2297,562,267,215,830,2125,238,0,92227
2018,17.7,3,1508062,1637,1348,616,3629,2281,615,224,207,926,1559,290,0,97930.5
2019,17.75,4,1567670.26,1927,1354,532,3899,2684,548,274,62,1159,1440,235,0,108867
